@T,table,,,,,,,,
Created,2018-11-09 16:31,,,,,,,,
Author,HortonMachine library,,,,,,,,
@H,timestamp,value_1,value_1,value_1,value_1,value_1,value_1,value_1,value_1
ID,,1,1,1,1,1,1,1,1
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,Latent Heat Shadow (W/m2),Latent Heat Shadow (mm),Latent Heat Sun (W/m2),Latent Heat Sun (mm),ET FAO (W/m2),ET FAO (mm),ET PT (W/m2),ET PT (mm)
,2018-05-22 09:00,8.6524343024,0.012713781,25.9790972347,0.0381733674,5.3010336814,0.007789274,13.1694308269,0.0193510004
,2018-05-22 10:00,13.5333970914,0.019885808,48.4328526586,0.0711666406,17.8320979324,0.0262022663,44.327995214,0.0651350134
,2018-05-22 11:00,14.4735473199,0.0212672532,51.5541743341,0.0757530725,18.4519519383,0.0271130722,45.9007307454,0.0674459717
,2018-05-22 12:00,16.3712974452,0.024055784,49.2274842215,0.0723342625,14.7093224562,0.0216136983,37.0884376655,0.0544972962
,2018-05-22 13:00,17.7743775179,0.0261174527,40.944828177,0.0601638292,7.9313312497,0.011654201,20.0582235335,0.029473308
,2018-05-22 14:00,14.4957360932,0.0212998571,42.1125330542,0.0618796404,12.1394686353,0.0178375866,30.7285139787,0.0451521022
,2018-05-22 15:00,15.5924541449,0.0229113612,30.9392206053,0.0454617119,3.9254581542,0.0057680201,9.843365345,0.0144637205
,2018-05-22 16:00,12.5241594602,0.0184028466,23.5446281387,0.0345961883,1.9225729693,0.0028250052,4.7753499522,0.0070168407
,2018-05-22 17:00,8.562943004,0.0125822836,15.3242860588,0.0225173183,1.8442797656,0.0027099621,4.5597686824,0.0067000683
,2018-05-22 18:00,7.824250105,0.0114968573,8.8246422917,0.0129668213,0.0018167017,2.66943923652697E-06,0,0
,2018-05-22 19:00,2.8087034803,0.0041270745,0.9251839802,0.001359454,0.002904247,4.26746504866707E-06,0,0
,2018-05-22 20:00,0,0,0,0,-0.00093089,-1.36783840438212E-06,0,0
,2018-05-22 21:00,0,0,0,0,-0.0009176936,-1.34844780659656E-06,0,0
,2018-05-22 22:00,0,0,0,0,-0.0022351223,-3.28426132971553E-06,0,0
,2018-05-22 23:00,0,0,0,0,-0.0069802653,-1.02567163496654E-05,0,0
,2018-05-23 00:00,0,0,0,0,-0.0030493745,-4.48071351969211E-06,0,0
,2018-05-23 01:00,0,0,0,0,0,0,0,0
,2018-05-23 02:00,0,0,0,0,-0.0014862832,-2.18392628937448E-06,0,0
,2018-05-23 03:00,0,0,0,0,0,0,0,0
,2018-05-23 04:00,0,0,0,0,-0.0022706561,-3.33647422982213E-06,0,0
,2018-05-23 05:00,1.6443801679,0.0024162321,7.526679057,0.01105961,-0.0024480399,-3.5971198233523E-06,0,0
,2018-05-23 06:00,6.0400365402,0.0088751557,34.8789669546,0.051250727,14.5651765937,0.0214018921,36.2738426988,0.0533003403
,2018-05-23 07:00,35.5595729454,0.0522508011,80.673165459,0.1185401615,37.6858422305,0.0553751151,99.6418847092,0.1464125653
,2018-05-23 08:00,57.3542223769,0.0842755921,119.0991,0.1750027592,51.4533994666,0.0756049951,136.8974018887,0.201155366
,2018-05-23 09:00,62.9446578237,0.0924901095,121.5522769555,0.1786074274,44.1492622349,0.0648723853,116.3021335974,0.170892931
,2018-05-23 10:00,66.5289820577,0.0977568716,108.7979252209,0.1598663391,29.8075204523,0.0437988056,79.7553669663,0.1171915596
,2018-05-23 11:00,62.758452485,0.0922165016,99.0183807044,0.1454963961,20.1644741092,0.0296294313,52.8829505028,0.0777055599
,2018-05-23 12:00,61.2411985792,0.0899870673,109.1583314082,0.1603959155,24.3063956091,0.0357155201,62.2053840916,0.0914038297
,2018-05-23 13:00,68.2769345235,0.1003252915,111.4785758076,0.1638052542,25.8308982541,0.0379556056,68.8431821215,0.1011573288
,2018-05-23 14:00,76.37669448,0.1122269796,138.8766357967,0.2040636281,37.0027445744,0.0543713798,94.5242134852,0.1388927219
,2018-05-23 15:00,70.5319877979,0.1036388392,90.7711751576,0.1333780533,15.6796076205,0.0230394234,40.4458629771,0.0594306558
,2018-05-23 16:00,40.6782810311,0.059772168,53.0274106986,0.077917828,7.8848625691,0.0115859205,19.6423699243,0.0288622578
,2018-05-23 17:00,26.6443310157,0.0391508537,30.6531068904,0.0450412999,3.370505414,0.0049525794,8.3350061699,0.012247356
