@T,table,,,,
Created,2018-11-09 16:31,,,,
Author,HortonMachine library,,,,
@H,timestamp,value_1,value_1,val_1,val_1
ID,,1,1,1,1
Type,Date,Double,Double,,
Format,yyyy-MM-dd HH:mm,LeafTemperature Sun,LeafTemperature Shadow,Air Temperature (°C),Air Temperature (K)
,2018-08-18 01:00,290.0130053222,290.3583333333,17.3583333333,290.3583333333
,2018-08-18 02:00,289.5537051986,289.875,16.875,289.875
,2018-08-18 03:00,289.351468174,289.6333333333,16.6333333333,289.6333333333
,2018-08-18 04:00,289.2318465588,289.5416666667,16.5416666667,289.5416666667
,2018-08-18 05:00,289.378860132,289.7416666667,16.7416666667,289.7416666667
,2018-08-18 06:00,307.7813074594,291.3344585763,17.8416666667,290.8416666667
,2018-08-18 07:00,305.5830855518,293.0499527476,19.3416666667,292.3416666667
,2018-08-18 08:00,317.7615862123,296.3637073069,22.525,295.525
,2018-08-18 09:00,309.2719379045,297.8549188336,25.8666666667,298.8666666667
,2018-08-18 10:00,304.6847430864,298.0394747403,26.125,299.125
,2018-08-18 11:00,301.8052306832,297.0799409875,25.1583333333,298.1583333333
,2018-08-18 12:00,303.7636175774,297.9218045212,26.2,299.2
,2018-08-18 13:00,307.0721805053,299.1158503077,27.775,300.775
,2018-08-18 14:00,305.1048230595,298.5213653006,27.3916666667,300.3916666667
,2018-08-18 15:00,306.4884029402,298.9470858102,27.9333333333,300.9333333333
,2018-08-18 16:00,304.6541432503,298.3372324183,27.3083333333,300.3083333333
,2018-08-18 17:00,298.8279569948,296.5548101381,25.0916666667,298.0916666667
,2018-08-18 18:00,295.5868152426,293.9622077614,22.0083333333,295.0083333333
,2018-08-18 19:00,292.7252105456,292.4888102117,20.45,293.45
,2018-08-18 20:00,291.7383341928,292.55,19.55,292.55
,2018-08-18 21:00,291.2737322853,291.9416666667,18.9416666667,291.9416666667
,2018-08-18 22:00,290.9562735725,291.5916666667,18.5916666667,291.5916666667
,2018-08-18 23:00,290.8563614184,291.4333333333,18.4333333333,291.4333333333
,2018-08-19 00:00,290.7357073965,291.3583333333,18.3583333333,291.3583333333
,2018-08-19 01:00,290.1609988133,290.7,17.7,290.7
,2018-08-19 02:00,290.0329850684,290.5333333333,17.5333333333,290.5333333333
,2018-08-19 03:00,290.0698994607,290.6083333333,17.6083333333,290.6083333333
,2018-08-19 04:00,289.7906968079,290.3083333333,17.3083333333,290.3083333333
,2018-08-19 05:00,289.4202374703,289.8916666667,16.8916666667,289.8916666667
,2018-08-19 06:00,293.5238530812,289.9145942614,17.0083333333,290.0083333333
,2018-08-19 07:00,304.6650859714,291.7645159764,18.3166666667,291.3166666667
,2018-08-19 08:00,307.4637380493,296.1005998734,23.7166666667,296.7166666667
,2018-08-19 09:00,306.2545380442,297.3372943032,25.375,298.375
,2018-08-19 10:00,305.5743568964,298.1689408739,26.4166666667,299.4166666667
,2018-08-19 11:00,306.5567713961,298.9015889625,27.3333333333,300.3333333333
,2018-08-19 12:00,306.7080855455,299.0413386371,27.5916666667,300.5916666667
,2018-08-19 13:00,307.1676726938,299.2470514403,27.9583333333,300.9583333333
,2018-08-19 14:00,308.1141417918,299.8214279194,28.8,301.8
,2018-08-19 15:00,307.3383899809,299.4564037886,28.5083333333,301.5083333333
,2018-08-19 16:00,304.8732364817,298.5728428849,27.75,300.75
,2018-08-19 17:00,300.161040405,296.497989109,24.8333333333,297.8333333333
,2018-08-19 18:00,297.2587535709,294.3272512073,22.4333333333,295.4333333333
,2018-08-19 19:00,293.002091373,292.8772711728,21.025,294.025
,2018-08-19 20:00,291.7841575805,292.775,19.775,292.775
,2018-08-19 21:00,291.3973962292,292.35,19.35,292.35
,2018-08-19 22:00,290.9255833542,291.7916666667,18.7916666667,291.7916666667
,2018-08-19 23:00,290.6366349772,291.4333333333,18.4333333333,291.4333333333
,2018-08-20 00:00,290.3634309022,291.1083333333,18.1083333333,291.1083333333
,2018-08-20 01:00,289.9998252251,290.5916666667,17.5916666667,290.5916666667
,2018-08-20 02:00,290.0086838153,290.6083333333,17.6083333333,290.6083333333
,2018-08-20 03:00,289.6881624881,290.2583333333,17.2583333333,290.2583333333
,2018-08-20 04:00,289.4618145268,290.0166666667,17.0166666667,290.0166666667
