@T,table,,,,,,
Created,2018-11-09 13:52,,,,,,
Author,HortonMachine library,,,,,,
@H,timestamp,value_1,,,value_1,,
ID,,1,,,1,,
Type,Date,Double,,,Double,,
Format,yyyy-MM-dd HH:mm,,,,,,
,2018-05-26 03:00,0.0559685413,0.0559685413,0,0,0,0
,2018-05-26 04:00,0.0373104503,0.0373104503,0.0373104503,0.7583333333,0.0007583333,2.82937581715839E-05
,2018-05-26 05:00,0.1561523121,0.1561523121,0.1561523121,83.180217551,0.0831802176,0.0129887833
,2018-05-26 06:00,0.3316614847,0.3316614847,0.3316614847,194.3106171285,0.1943106171,0.0644453478
,2018-05-26 07:00,0.8977067417,0.8977067417,0.8977067417,498.3673806291,0.4983673806,0.4473877574
,2018-05-26 08:00,1.2353720676,1.2353720676,1.2353720676,660.3819555214,0.6603819555,0.8158174218
,2018-05-26 09:00,1.5911982904,1.5911982904,1.5911982904,838.2591383147,0.8382591383,1.3338365078
,2018-05-26 10:00,1.8206535402,1.8206535402,1.8206535402,952.7402080764,0.9527402081,1.7346098327
,2018-05-26 11:00,1.8537636849,1.8537636849,1.8537636849,964.4133094933,0.9644133095,1.7877943704
,2018-05-26 12:00,1.7724737426,1.7724737426,1.7724737426,927.0738919361,0.9270738919,1.6432141309
,2018-05-26 13:00,1.5508636431,1.5508636431,1.5508636431,791.372627803,0.7913726278,1.2273110366
,2018-05-26 14:00,1.236966309,1.236966309,1.236966309,590.1160371985,0.5901160372,0.7299536564
,2018-05-26 15:00,0.715049425,0.715049425,0.715049425,341.9262799295,0.3419262799,0.2444941899
,2018-05-26 16:00,0.8705600864,0.8705600864,0.8705600864,464.8163491837,0.4648163492,0.4046505611
,2018-05-26 17:00,0.7790902043,0.7790902043,0.7790902043,355.9066208352,0.3559066208,0.2772833619
,2018-05-26 18:00,0.2301434755,0.2301434755,0.2301434755,75.7993476054,0.0757993476,0.0174447253
,2018-05-26 19:00,0.1060964084,0.1060964084,0.1060964084,3.6583333333,0.0036583333,0.000388136
,2018-05-26 20:00,0.0684560432,0.0684560432,0,0,0,0
,2018-05-26 21:00,0.0533785395,0.0533785395,0,0,0,0
,2018-05-26 22:00,0.0311316154,0.0311316154,0,0,0,0
,2018-05-26 23:00,0.0308549183,0.0308549183,0,0,0,0
,2018-05-27 00:00,0.0149295258,0.0149295258,0,0,0,0
,2018-05-27 01:00,0.0189896384,0.0189896384,0,0,0,0
,2018-05-27 02:00,0.0236118492,0.0236118492,0,0,0,0
,2018-05-27 03:00,0.0271827513,0.0271827513,0,0,0,0
,2018-05-27 04:00,0.8690367756,0.8690367756,0.8690367756,574.4082139452,0.5744082139,0.4991818621
,2018-05-27 05:00,0.154123774,0.154123774,0.154123774,89.7975566491,0.0897975566,0.0138399383
,2018-05-27 06:00,0.3279599719,0.3279599719,0.3279599719,203.4899434847,0.2034899435,0.0667365562
,2018-05-27 07:00,0.6287476544,0.6287476544,0.6287476544,371.7328521877,0.3717328522,0.2337261589
,2018-05-27 08:00,1.0793690963,1.0793690963,1.0793690963,603.4595688759,0.6034595689,0.6513556095
,2018-05-27 09:00,1.2460228773,1.2460228773,1.2460228773,649.9695431961,0.6499695432,0.8098769204
,2018-05-27 10:00,1.6023317768,1.6023317768,1.6023317768,840.1722110455,0.840172211,1.3462346318
,2018-05-27 11:00,1.8580420249,1.8580420249,1.8580420249,988.315116402,0.9883151164,1.8363310201
,2018-05-27 12:00,0.7862815747,0.7862815747,0.7862815747,306.0030372173,0.3060030372,0.24060455
,2018-05-27 13:00,0.5830502212,0.5830502212,0.5830502212,238.1395239062,0.2381395239,0.1388473021
,2018-05-27 14:00,0.4686605076,0.4686605076,0.4686605076,211.0772848113,0.2110772848,0.0989235874
,2018-05-27 15:00,0.2386757267,0.2386757267,0.2386757267,138.274269189,0.1382742692,0.0330027117
,2018-05-27 16:00,0.1642209666,0.1642209666,0.1642209666,102.1058820521,0.1021058821,0.0167679266
,2018-05-27 17:00,0.117711023,0.117711023,0.117711023,77.1551313342,0.0771551313,0.0090820094
,2018-05-27 18:00,0.0894009769,0.0894009769,0.0894009769,43.7161725029,0.0437161725,0.0039082685
,2018-05-27 19:00,0.8421121931,0.8421121931,0.8421121931,572.3808814064,0.5723808814,0.4820089194
,2018-05-27 20:00,0.0236911917,0.0236911917,0,0,0,0
,2018-05-27 21:00,0.0026534584,0.0026534584,0,0,0,0
,2018-05-27 22:00,-0.0081793402,0,0,0,0,0
,2018-05-27 23:00,-0.0038157222,0,0,0,0,0
,2018-05-28 00:00,-0.0079455077,0,0,0,0,0
,2018-05-28 01:00,-0.0078058522,0,0,0,0,0
,2018-05-28 02:00,-9999,0,0,0,0,0
,2018-05-28 03:00,-9999,0,0,0,0,0
,2018-05-28 04:00,0.081670643,0.081670643,0.081670643,48.8995464191,0.0488995464,0.0039936574
,2018-05-28 05:00,0.1375570303,0.1375570303,0.1375570303,86.0330928534,0.0860330929,0.0118344568
,2018-05-28 06:00,0.1432019404,0.1432019404,0.1432019404,91.1585153235,0.0911585153,0.0130540763
,2018-05-28 07:00,0.5810866337,0.5810866337,0.5810866337,381.1125466017,0.3811125466,0.2214594068
,2018-05-28 08:00,0.724274958,0.724274958,0.724274958,450.0269553861,0.4500269554,0.3259432542
,2018-05-28 09:00,0.6220128951,0.6220128951,0.6220128951,382.1536419803,0.382153642,0.2377044932
,2018-05-28 10:00,1.285527863,1.285527863,1.285527863,722.1830468783,0.7221830469,0.9283864289
,2018-05-28 11:00,1.6006814395,1.6006814395,1.6006814395,808.5446997678,0.8085446998,1.2942224939
,2018-05-28 12:00,1.685865027,1.685865027,1.685865027,890.8186356864,0.8908186357,1.5017999833
,2018-05-28 13:00,1.5861726437,1.5861726437,1.5861726437,818.9557284242,0.8189557284,1.2990051728
,2018-05-28 14:00,1.253964117,1.253964117,1.253964117,597.0263672541,0.5970263673,0.7486496414
,2018-05-28 15:00,1.5180397369,1.5180397369,1.5180397369,742.6460084514,0.7426460085,1.1273661513
,2018-05-28 16:00,1.1027318316,1.1027318316,1.1027318316,504.1133361936,0.5041133362,0.5559018225
,2018-05-28 17:00,0.8124079823,0.8124079823,0.8124079823,332.6135907923,0.3326135908,0.2702179362
,2018-05-28 18:00,0.3203262444,0.3203262444,0.3203262444,102.6999866572,0.1026999867,0.032897501
,2018-05-28 19:00,0.2377330754,0.2377330754,0.2377330754,56.6539535999,0.0566539536,0.0134685186
,2018-05-28 20:00,0.117169214,0.117169214,0,0,0,0
,2018-05-28 21:00,0.0739976986,0.0739976986,0,0,0,0
,2018-05-28 22:00,0.0912806522,0.0912806522,0,0,0,0
,2018-05-28 23:00,0.0906590319,0.0906590319,0,0,0,0
,2018-05-29 00:00,0.0910483166,0.0910483166,0,0,0,0
,2018-05-29 01:00,0.0675601313,0.0675601313,0,0,0,0
,2018-05-29 02:00,0.0708452565,0.0708452565,0,0,0,0
,2018-05-29 03:00,0.0358555675,0.0358555675,0,0,0,0
,2018-05-29 04:00,0.0128397522,0.0128397522,0.0128397522,9.4400658015,0.0094400658,0.0001212081
,2018-05-29 05:00,0.0739782891,0.0739782891,0.0739782891,53.3396997111,0.0533396997,0.0039459797
,2018-05-29 06:00,0.2443184322,0.2443184322,0.2443184322,169.8680129335,0.1698680129,0.0415018866
,2018-05-29 07:00,0.4642648305,0.4642648305,0.4642648305,298.3889407342,0.2983889407,0.138531491
,2018-05-29 08:00,0.8548441568,0.8548441568,0.8548441568,523.7406985743,0.5237406986,0.4477166759
,2018-05-29 09:00,0.8293880056,0.8293880056,0.8293880056,475.6834541584,0.4756834542,0.3945261513
,2018-05-29 10:00,0.7088439601,0.7088439601,0.7088439601,395.9372088395,0.3959372088,0.2806576991
,2018-05-29 11:00,0.7627249758,0.7627249758,0.7627249758,430.0831744889,0.4300831745,0.3280351788
,2018-05-29 12:00,0.5518023542,0.5518023542,0.5518023542,316.7929507259,0.3167929507,0.174807096
,2018-05-29 13:00,0.4422975327,0.4422975327,0.4422975327,252.0178283896,0.2520178284,0.1114668637
,2018-05-29 14:00,0.6336986499,0.6336986499,0.6336986499,362.7166361422,0.3627166361,0.2298530426
,2018-05-29 15:00,1.1330049216,1.1330049216,1.1330049216,686.6275849167,0.6866275849,0.777952433
,2018-05-29 16:00,1.0538985998,1.0538985998,1.0538985998,564.121669407,0.5641216694,0.5945270375
,2018-05-29 17:00,0.5348545615,0.5348545615,0.5348545615,272.3138545074,0.2723138545,0.1456483072
,2018-05-29 18:00,0.3596748913,0.3596748913,0.3596748913,165.0820488261,0.1650820488,0.059375868
,2018-05-29 19:00,0.1130394942,0.1130394942,0.1130394942,28.3701796367,0.0283701796,0.0032069508
,2018-05-29 20:00,0.0376062841,0.0376062841,0,0,0,0
,2018-05-29 21:00,0.0213197967,0.0213197967,0,0,0,0
,2018-05-29 22:00,0.0163347316,0.0163347316,0,0,0,0
,2018-05-29 23:00,0.0062275465,0.0062275465,0,0,0,0
,2018-05-30 00:00,0.008018566,0.008018566,0,0,0,0
,2018-05-30 01:00,0.0059529833,0.0059529833,0,0,0,0
,2018-05-30 02:00,0.0001246781,0.0001246781,0,0,0,0
,2018-05-30 03:00,0.0007183815,0.0007183815,0,0,0,0
,2018-05-30 04:00,0.0068006482,0.0068006482,0.0068006482,5.3492642293,0.0053492642,3.6378464203813E-05
,2018-05-30 05:00,0.109693783,0.109693783,0.109693783,69.6080819727,0.069608082,0.0076355738
,2018-05-30 06:00,0.3655206852,0.3655206852,0.3655206852,235.163153198,0.2351631532,0.0859569969
,2018-05-30 07:00,0.6267738244,0.6267738244,0.6267738244,378.4091031182,0.3784091031,0.2371769208
,2018-05-30 08:00,0.8199083875,0.8199083875,0.8199083875,479.2975221304,0.4792975221,0.3929800585
,2018-05-30 09:00,1.2878392666,1.2878392666,1.2878392666,718.1806670149,0.718180667,0.9249012635
,2018-05-30 10:00,1.6936238747,1.6936238747,1.6936238747,930.5120459852,0.930512046,1.5759374168
,2018-05-30 11:00,1.8081262165,1.8081262165,1.8081262165,981.6558297714,0.9816558298,1.7749576414
,2018-05-30 12:00,1.6158436534,1.6158436534,1.6158436534,835.278920805,0.8352789208,1.349680143
,2018-05-30 13:00,0.5566528115,0.5566528115,0.5566528115,210.8069560019,0.210806956,0.1173462847
,2018-05-30 14:00,0.2636219247,0.2636219247,0.2636219247,131.763825232,0.1317638252,0.0347358332
,2018-05-30 15:00,0.2579477675,0.2579477675,0.2579477675,171.7641720248,0.171764172,0.0443061847
,2018-05-30 16:00,0.3470174481,0.3470174481,0.3470174481,229.4249684482,0.2294249684,0.0796144671
,2018-05-30 17:00,0.3690308972,0.3690308972,0.3690308972,239.866504378,0.2398665044,0.0885181513
,2018-05-30 18:00,0.1991346181,0.1991346181,0.1991346181,122.12731669,0.1221273167,0.0243197766
,2018-05-30 19:00,0.020099888,0.020099888,0.020099888,10.3619582507,0.0103619583,0.0002082742
,2018-05-30 20:00,-0.0019276668,0,0,0,0,0
,2018-05-30 21:00,-0.0055614045,0,0,0,0,0
,2018-05-30 22:00,-0.003634779,0,0,0,0,0
,2018-05-30 23:00,0.018920952,0.018920952,0,0,0,0
,2018-05-31 00:00,0.0191422828,0.0191422828,0,0,0,0
,2018-05-31 01:00,0.0216408855,0.0216408855,0,0,0,0
,2018-05-31 02:00,0.0208017844,0.0208017844,0,0,0,0
,2018-05-31 03:00,0.0230885808,0.0230885808,0,0,0,0
,2018-05-31 04:00,0.018779263,0.018779263,0.018779263,3.2610755534,0.0032610756,6.12405955376516E-05
,2018-05-31 05:00,0.1491005578,0.1491005578,0.1491005578,89.5917848706,0.0895917849,0.0133581851
,2018-05-31 06:00,0.3774839148,0.3774839148,0.3774839148,224.2451856395,0.2242451856,0.0846489506
,2018-05-31 07:00,0.567271181,0.567271181,0.567271181,338.6034034907,0.3386034035,0.1920799526
,2018-05-31 08:00,1.1377111139,1.1377111139,1.1377111139,660.7276707274,0.6607276707,0.7517172142
