,Data e ora,Ponderata Thiessen C3
,sum,sum
Datetime,,
2018-10-30 10:00:00,30/10/2018 10:0030/10/2018 10:1530/10/2018 10:3030/10/2018 10:45,0.0
2018-10-30 11:00:00,30/10/2018 11:0030/10/2018 11:1530/10/2018 11:3030/10/2018 11:45,0.0
2018-10-30 12:00:00,30/10/2018 12:0030/10/2018 12:1530/10/2018 12:3030/10/2018 12:45,0.2778
2018-10-30 13:00:00,30/10/2018 13:0030/10/2018 13:1530/10/2018 13:3030/10/2018 13:45,2.2228000000000003
2018-10-30 14:00:00,30/10/2018 14:0030/10/2018 14:1530/10/2018 14:3030/10/2018 14:45,1.4782
2018-10-30 15:00:00,30/10/2018 15:0030/10/2018 15:1530/10/2018 15:3030/10/2018 15:45,1.1556
2018-10-30 16:00:00,30/10/2018 16:0030/10/2018 16:1530/10/2018 16:3030/10/2018 16:45,0.1222
2018-10-30 17:00:00,30/10/2018 17:0030/10/2018 17:1530/10/2018 17:3030/10/2018 17:45,0.2334
2018-10-30 18:00:00,30/10/2018 18:0030/10/2018 18:1530/10/2018 18:3030/10/2018 18:45,2.4444
2018-10-30 19:00:00,30/10/2018 19:0030/10/2018 19:1530/10/2018 19:3030/10/2018 19:45,1.1002
2018-10-30 20:00:00,30/10/2018 20:0030/10/2018 20:1530/10/2018 20:3030/10/2018 20:45,0.5112
2018-10-30 21:00:00,30/10/2018 21:0030/10/2018 21:1530/10/2018 21:3030/10/2018 21:45,0.2444
2018-10-30 22:00:00,30/10/2018 22:0030/10/2018 22:1530/10/2018 22:3030/10/2018 22:45,0.0
2018-10-30 23:00:00,30/10/2018 23:0030/10/2018 23:1530/10/2018 23:3030/10/2018 23:45,0.0
2018-10-31 00:00:00,31/10/2018 00:0031/10/2018 00:1531/10/2018 00:3031/10/2018 00:45,0.0
2018-10-31 01:00:00,31/10/2018 01:0031/10/2018 01:1531/10/2018 01:3031/10/2018 01:45,0.1222
2018-10-31 02:00:00,31/10/2018 02:0031/10/2018 02:1531/10/2018 02:3031/10/2018 02:45,0.0
2018-10-31 03:00:00,31/10/2018 03:0031/10/2018 03:1531/10/2018 03:3031/10/2018 03:45,0.0
2018-10-31 04:00:00,31/10/2018 04:0031/10/2018 04:1531/10/2018 04:3031/10/2018 04:45,0.0778
2018-10-31 05:00:00,31/10/2018 05:0031/10/2018 05:1531/10/2018 05:3031/10/2018 05:45,0.0
2018-10-31 06:00:00,31/10/2018 06:0031/10/2018 06:1531/10/2018 06:3031/10/2018 06:45,0.0
2018-10-31 07:00:00,31/10/2018 07:0031/10/2018 07:1531/10/2018 07:3031/10/2018 07:45,0.0
2018-10-31 08:00:00,31/10/2018 08:0031/10/2018 08:1531/10/2018 08:3031/10/2018 08:45,0.0
2018-10-31 09:00:00,31/10/2018 09:0031/10/2018 09:1531/10/2018 09:3031/10/2018 09:45,0.0
2018-10-31 10:00:00,31/10/2018 10:0031/10/2018 10:1531/10/2018 10:3031/10/2018 10:45,0.0
2018-10-31 11:00:00,31/10/2018 11:0031/10/2018 11:1531/10/2018 11:3031/10/2018 11:45,0.0
2018-10-31 12:00:00,31/10/2018 12:0031/10/2018 12:1531/10/2018 12:3031/10/2018 12:45,0.0
2018-10-31 13:00:00,31/10/2018 13:0031/10/2018 13:1531/10/2018 13:3031/10/2018 13:45,0.0
2018-10-31 14:00:00,31/10/2018 14:0031/10/2018 14:1531/10/2018 14:3031/10/2018 14:45,0.0
2018-10-31 15:00:00,31/10/2018 15:0031/10/2018 15:1531/10/2018 15:3031/10/2018 15:45,0.0
2018-10-31 16:00:00,31/10/2018 16:0031/10/2018 16:1531/10/2018 16:3031/10/2018 16:45,0.0
2018-10-31 17:00:00,31/10/2018 17:0031/10/2018 17:1531/10/2018 17:3031/10/2018 17:45,0.0
2018-10-31 18:00:00,31/10/2018 18:0031/10/2018 18:1531/10/2018 18:3031/10/2018 18:45,0.0
2018-10-31 19:00:00,31/10/2018 19:0031/10/2018 19:1531/10/2018 19:3031/10/2018 19:45,0.0
2018-10-31 20:00:00,31/10/2018 20:0031/10/2018 20:1531/10/2018 20:3031/10/2018 20:45,0.0
2018-10-31 21:00:00,31/10/2018 21:0031/10/2018 21:1531/10/2018 21:3031/10/2018 21:45,0.0
2018-10-31 22:00:00,31/10/2018 22:0031/10/2018 22:1531/10/2018 22:3031/10/2018 22:45,0.1222
2018-10-31 23:00:00,31/10/2018 23:0031/10/2018 23:1531/10/2018 23:3031/10/2018 23:45,0.0
2018-11-01 00:00:00,01/11/2018 00:0001/11/2018 00:1501/11/2018 00:3001/11/2018 00:45,0.0
2018-11-01 01:00:00,01/11/2018 01:0001/11/2018 01:1501/11/2018 01:3001/11/2018 01:45,0.4444
2018-11-01 02:00:00,01/11/2018 02:0001/11/2018 02:1501/11/2018 02:3001/11/2018 02:45,0.1222
2018-11-01 03:00:00,01/11/2018 03:0001/11/2018 03:1501/11/2018 03:3001/11/2018 03:45,1.411
2018-11-01 04:00:00,01/11/2018 04:0001/11/2018 04:1501/11/2018 04:3001/11/2018 04:45,2.0888
2018-11-01 05:00:00,01/11/2018 05:0001/11/2018 05:1501/11/2018 05:3001/11/2018 05:45,2.4664
2018-11-01 06:00:00,01/11/2018 06:0001/11/2018 06:1501/11/2018 06:3001/11/2018 06:45,6.589
2018-11-01 07:00:00,01/11/2018 07:0001/11/2018 07:1501/11/2018 07:3001/11/2018 07:45,11.2782
2018-11-01 08:00:00,01/11/2018 08:0001/11/2018 08:1501/11/2018 08:3001/11/2018 08:45,2.5999999999999996
2018-11-01 09:00:00,01/11/2018 09:0001/11/2018 09:1501/11/2018 09:3001/11/2018 09:45,0.8778
2018-11-01 10:00:00,01/11/2018 10:0001/11/2018 10:1501/11/2018 10:3001/11/2018 10:45,0.0778
2018-11-01 11:00:00,01/11/2018 11:0001/11/2018 11:1501/11/2018 11:3001/11/2018 11:45,0.0
2018-11-01 12:00:00,01/11/2018 12:0001/11/2018 12:1501/11/2018 12:3001/11/2018 12:45,0.0
2018-11-01 13:00:00,01/11/2018 13:0001/11/2018 13:1501/11/2018 13:3001/11/2018 13:45,0.0
2018-11-01 14:00:00,01/11/2018 14:0001/11/2018 14:1501/11/2018 14:3001/11/2018 14:45,0.0
2018-11-01 15:00:00,01/11/2018 15:0001/11/2018 15:1501/11/2018 15:3001/11/2018 15:45,0.0
2018-11-01 16:00:00,01/11/2018 16:0001/11/2018 16:1501/11/2018 16:3001/11/2018 16:45,0.0
2018-11-01 17:00:00,01/11/2018 17:0001/11/2018 17:1501/11/2018 17:3001/11/2018 17:45,0.0
2018-11-01 18:00:00,01/11/2018 18:0001/11/2018 18:1501/11/2018 18:3001/11/2018 18:45,0.0
2018-11-01 19:00:00,01/11/2018 19:0001/11/2018 19:1501/11/2018 19:3001/11/2018 19:45,0.0
2018-11-01 20:00:00,01/11/2018 20:0001/11/2018 20:1501/11/2018 20:3001/11/2018 20:45,0.0
2018-11-01 21:00:00,01/11/2018 21:0001/11/2018 21:1501/11/2018 21:3001/11/2018 21:45,0.0
2018-11-01 22:00:00,01/11/2018 22:0001/11/2018 22:1501/11/2018 22:3001/11/2018 22:45,0.0
2018-11-01 23:00:00,01/11/2018 23:0001/11/2018 23:1501/11/2018 23:3001/11/2018 23:45,0.0
2018-11-02 00:00:00,02/11/2018 00:0002/11/2018 00:1502/11/2018 00:3002/11/2018 00:45,0.0
2018-11-02 01:00:00,02/11/2018 01:0002/11/2018 01:1502/11/2018 01:3002/11/2018 01:45,0.0
2018-11-02 02:00:00,02/11/2018 02:0002/11/2018 02:1502/11/2018 02:3002/11/2018 02:45,0.0
2018-11-02 03:00:00,02/11/2018 03:0002/11/2018 03:1502/11/2018 03:3002/11/2018 03:45,2.7552000000000003
2018-11-02 04:00:00,02/11/2018 04:0002/11/2018 04:1502/11/2018 04:3002/11/2018 04:45,4.1331999999999995
2018-11-02 05:00:00,02/11/2018 05:0002/11/2018 05:1502/11/2018 05:3002/11/2018 05:45,0.4778
2018-11-02 06:00:00,02/11/2018 06:0002/11/2018 06:1502/11/2018 06:3002/11/2018 06:45,0.2
2018-11-02 07:00:00,02/11/2018 07:0002/11/2018 07:1502/11/2018 07:3002/11/2018 07:45,0.32220000000000004
2018-11-02 08:00:00,02/11/2018 08:0002/11/2018 08:1502/11/2018 08:3002/11/2018 08:45,0.0778
2018-11-02 09:00:00,02/11/2018 09:0002/11/2018 09:1502/11/2018 09:3002/11/2018 09:45,0.0
2018-11-02 10:00:00,02/11/2018 10:0002/11/2018 10:1502/11/2018 10:3002/11/2018 10:45,0.2
2018-11-02 11:00:00,02/11/2018 11:0002/11/2018 11:1502/11/2018 11:3002/11/2018 11:45,0.0
2018-11-02 12:00:00,02/11/2018 12:0002/11/2018 12:1502/11/2018 12:3002/11/2018 12:45,0.0778
2018-11-02 13:00:00,02/11/2018 13:0002/11/2018 13:1502/11/2018 13:3002/11/2018 13:45,0.0
2018-11-02 14:00:00,02/11/2018 14:0002/11/2018 14:1502/11/2018 14:3002/11/2018 14:45,0.0
2018-11-02 15:00:00,02/11/2018 15:0002/11/2018 15:1502/11/2018 15:3002/11/2018 15:45,0.0
2018-11-02 16:00:00,02/11/2018 16:0002/11/2018 16:1502/11/2018 16:3002/11/2018 16:45,0.0
2018-11-02 17:00:00,02/11/2018 17:0002/11/2018 17:1502/11/2018 17:3002/11/2018 17:45,0.0
2018-11-02 18:00:00,02/11/2018 18:0002/11/2018 18:1502/11/2018 18:3002/11/2018 18:45,0.0
2018-11-02 19:00:00,02/11/2018 19:0002/11/2018 19:1502/11/2018 19:3002/11/2018 19:45,0.0
2018-11-02 20:00:00,02/11/2018 20:0002/11/2018 20:1502/11/2018 20:3002/11/2018 20:45,0.0
2018-11-02 21:00:00,02/11/2018 21:0002/11/2018 21:1502/11/2018 21:3002/11/2018 21:45,0.0
2018-11-02 22:00:00,02/11/2018 22:0002/11/2018 22:1502/11/2018 22:3002/11/2018 22:45,0.0778
2018-11-02 23:00:00,02/11/2018 23:0002/11/2018 23:1502/11/2018 23:3002/11/2018 23:45,0.0
2018-11-03 00:00:00,03/11/2018 00:0003/11/2018 00:1503/11/2018 00:3003/11/2018 00:45,0.0
2018-11-03 01:00:00,03/11/2018 01:0003/11/2018 01:1503/11/2018 01:3003/11/2018 01:45,0.0
2018-11-03 02:00:00,03/11/2018 02:0003/11/2018 02:1503/11/2018 02:3003/11/2018 02:45,0.0
2018-11-03 03:00:00,03/11/2018 03:0003/11/2018 03:1503/11/2018 03:3003/11/2018 03:45,0.1222
2018-11-03 04:00:00,03/11/2018 04:0003/11/2018 04:1503/11/2018 04:3003/11/2018 04:45,0.0
2018-11-03 05:00:00,03/11/2018 05:0003/11/2018 05:1503/11/2018 05:3003/11/2018 05:45,0.0
2018-11-03 06:00:00,03/11/2018 06:0003/11/2018 06:1503/11/2018 06:3003/11/2018 06:45,0.0
2018-11-03 07:00:00,03/11/2018 07:0003/11/2018 07:1503/11/2018 07:3003/11/2018 07:45,0.0
2018-11-03 08:00:00,03/11/2018 08:0003/11/2018 08:1503/11/2018 08:3003/11/2018 08:45,0.0
2018-11-03 09:00:00,03/11/2018 09:0003/11/2018 09:1503/11/2018 09:3003/11/2018 09:45,0.0
2018-11-03 10:00:00,03/11/2018 10:0003/11/2018 10:1503/11/2018 10:3003/11/2018 10:45,0.0
2018-11-03 11:00:00,03/11/2018 11:0003/11/2018 11:1503/11/2018 11:3003/11/2018 11:45,0.0
2018-11-03 12:00:00,03/11/2018 12:0003/11/2018 12:1503/11/2018 12:3003/11/2018 12:45,0.0
2018-11-03 13:00:00,03/11/2018 13:0003/11/2018 13:1503/11/2018 13:3003/11/2018 13:45,0.0
2018-11-03 14:00:00,03/11/2018 14:0003/11/2018 14:1503/11/2018 14:3003/11/2018 14:45,0.0
2018-11-03 15:00:00,03/11/2018 15:0003/11/2018 15:1503/11/2018 15:3003/11/2018 15:45,0.1222
2018-11-03 16:00:00,03/11/2018 16:0003/11/2018 16:1503/11/2018 16:3003/11/2018 16:45,0.2
2018-11-03 17:00:00,03/11/2018 17:0003/11/2018 17:1503/11/2018 17:3003/11/2018 17:45,0.0
2018-11-03 18:00:00,03/11/2018 18:0003/11/2018 18:1503/11/2018 18:3003/11/2018 18:45,0.0
2018-11-03 19:00:00,03/11/2018 19:0003/11/2018 19:1503/11/2018 19:3003/11/2018 19:45,0.0
2018-11-03 20:00:00,03/11/2018 20:0003/11/2018 20:1503/11/2018 20:3003/11/2018 20:45,0.0
2018-11-03 21:00:00,03/11/2018 21:0003/11/2018 21:1503/11/2018 21:3003/11/2018 21:45,0.0
2018-11-03 22:00:00,03/11/2018 22:0003/11/2018 22:1503/11/2018 22:3003/11/2018 22:45,0.0
2018-11-03 23:00:00,03/11/2018 23:0003/11/2018 23:1503/11/2018 23:3003/11/2018 23:45,0.0
2018-11-04 00:00:00,04/11/2018 00:00,0.0
